Stock,Current_Percentage,Current_Amount
BHARTIARTL,10,10000
TATASTEEL,15,15000
TITAN,5,5000
HDFCLIFE,8,8000
COALINDIA,12,12000
JSWSTEEL,7,7000
NESTLEIND,6,6000
ICICIBANK,14,14000
MARUTI,9,9000
ULTRACEMCO,11,11000
WIPRO,5,5000
NTPC,10,10000
ASIANPAINT,13,13000
ONGC,4,4000
DRREDDY,6,6000
TECHM,8,8000
TCS,15,15000
SUNPHARMA,7,7000
HCLTECH,9,9000
APOLLOHOSP,10,10000
KOTAKBANK,12,12000
AXISBANK,11,11000
EICHERMOT,5,5000
HDFCBANK,13,13000
TATAMOTORS,8,8000
ADANIENT,6,6000
HEROMOTOCO,7,7000
UPL,9,9000
CIPLA,10,10000
BAJAJAUTO,4,4000
ITC,12,12000
TATACONSUM,11,11000
POWERGRID,8,8000
HINDALCO,7,7000
BPCL,6,6000
LT,13,13000
ADANIPORTS,9,9000
HINDUNILVR,10,10000
GRASIM,5,5000
RELIANCE,15,15000
INFY,14,14000
SBILIFE,8,8000
DIVISLAB,7,7000
SBIN,12,12000
INDUSINDBK,11,11000
BAJAJFINSV,10,10000
BAJFINANCE,9,9000
MM,6,6000
